序号,课程号,课程名称,课程类型,开课单位,班号,学分,执行计划编号,起止周,上课时间,教师,备注
333,00334660,先进电子器件与制造,专业任选,工学院,1,3,BZ2526100334660_16766,1-16,星期一(第5节-第6节)(单)星期三(第7节-第8节),LIQILIANG（李启亮）,大三大四机
334,00334670,航空航天材料与制造,专业任选,工学院,1,3,BZ2526100334670_11992,1-16,星期一(第5节-第6节)(双)星期三(第7节-第8节),王海洋,大三大四航材
335,00334680,力学研究方法与创新实践,专业任选,工学院,1,2,BZ2526100334680_11548,1-16,星期二(第10节-第11节),HUANGGUOLIANG（黄国良）,大三大四周班同学 另安排实践时间
336,00334690,工业数据安全,专业任选,工学院,1,3,BZ2526100334690_17938,1-16,星期三(第7节-第8节)星期五(第1节-第2节)(单),孙铭阳,不限制专业
337,00334710,智能体建模与决策,全校公选课,工学院,1,2,BZ2526100334710_11570,1-16,星期三(第1节-第2节),宋洁,
338,00334720,突触连接组学,专业任选,工学院,1,2,BZ2526100334720_11141,1-16,星期一(第7节-第8节),宋坤,大三/大四 强力生医方向，生
339,00400140,群论Ⅰ,专业任选,物理学院,1,4,BZ2526100400140_15834,1-16,星期二(第3节-第4节)星期四(第1节-第2节),张亿,研本合上，二教207
340,00400440,量子多体理论,专业任选,物理学院,1,4,BZ2526100400440_11302,1-16,星期一(第3节-第4节)星期五(第5节-第6节),RYUICHI SHINDO,研本合上，二教501
341,00401894,超短超强激光物理与实验,专业任选,物理学院,1,3,BZ2526100401894_16978,1-16,星期四(第7节-第9节),施可彬马文君,研本合上，一教215
342,00405572,等离子体物理实验基础,专业任选,物理学院,1,3,BZ2526100405572_16725,1-16,星期二(第5节-第7节),李湘庆,研本合上，理教111
343,00405596,量子材料前沿讲座,专业任选,物理学院,1,2,BZ2526100405596_18262,1-16,星期三(第7节-第8节),陈钢,研本合上，一学年的课，秋季选课，春季录成绩。物理西楼563
344,00405611,激光等离子体物理,专业任选,物理学院,1,3,BZ2526100405611_15000,1-16,星期五(第7节-第9节),乔宾,研本合上，二教313
345,00405612,量子材料的物性,专业任选,物理学院,1,3,BZ2526100405612_19434,1-16,星期四(第7节-第9节),王健,研本合上，一教103
346,00405625,半导体器件物理,专业任选,物理学院,1,3,BZ2526100405625_11511,1-16,星期四(第7节-第9节),马仁敏,研本合上，三教206
347,00405628,固体散射谱学简介,专业任选,物理学院,1,3,BZ2526100405628_18372,1-16,星期一(第5节-第6节)星期三(第5节-第6节)(单),彭莹莹,研本合上，二教423
348,00405647,量子信息物理：原理与应用,专业任选,物理学院,1,4,BZ2526100405647_17674,1-16,星期二(第3节-第4节)星期四(第7节-第8节),何琼毅王剑威,研本合上，三教403
349,00405649,高等原子核物理,专业任选,物理学院,1,4,BZ2526100405649_16682,1-16,星期一(第7节-第8节)星期四(第7节-第8节),叶沿林杨晓菲,研本合上，卓越荣誉课程，二教423
350,00405650,凝聚态物理导论,专业任选,物理学院,1,3,BZ2526100405650_11645,1-16,星期一(第7节-第9节),林熙李新征黄华卿,研本合上，二教527
351,00405660,量子输运模拟,专业任选,物理学院,1,3,BZ2526100405660_16635,1-16,星期一(第10节-第12节),吕劲,研本合上，一教103
352,00405666,物理学前沿中的精密测量,专业任选,物理学院,1,3,BZ2526100405666_14115,1-16,星期三(第5节-第12节),肖云峰江颖林熙刘开辉杨振伟,卓越荣誉选修，研本合上，具体实验周次上课后安排
353,00405666,物理学前沿中的精密测量,专业任选,物理学院,2,3,BZ2526100405666_25628,1-16,星期四(第5节-第12节),肖云峰江颖林熙刘开辉杨振伟,卓越荣誉选修，研本合上，具体实验周次上课后安排
354,00405667,物理与人工智能,专业任选,物理学院,1,3,BZ2526100405667_19899,1-16,星期一(第7节-第9节),宋慧超林晨马滟青冯旭陈基张亿王力乐朱华星,研本合上，理教313
355,00406490,天体物理辐射过程,专业任选,物理学院,1,3,BZ2526100406490_19121,1-16,,黎卓,研本合上，开学后请到理科二号楼2907看课表
356,00406811,大气科学前沿（一）,专业任选,物理学院,1,2,BZ2526100406811_14513,1-16,星期三(第7节-第8节),丁峰,研本合上，物理楼北547，一学年的课，秋季选课，春季录成绩
357,00407771,核物理与粒子物理实验方法（二）,专业任选,物理学院,1,3,BZ2526100407771_15458,1-16,星期三(第7节-第8节)星期五(第3节-第4节),班勇王大勇,研本合上，二教309
358,00407778,中尺度动力学,专业任选,物理学院,1,4,BZ2526100407778_13846,1-16,星期一(第5节-第6节)星期三(第10节-第11节),杨邱,研本合上，物理楼北547
359,00407779,气候物理化学,专业任选,物理学院,1,4,BZ2526100407779_19056,1-16,星期二(第7节-第8节)星期三(第5节-第6节),林金泰,研本合上，物理楼北539
360,00407780,数值天气预报,专业任选,物理学院,1,4,BZ2526100407780_14545,1-16,星期一(第3节-第4节)星期三(第3节-第4节),孟智勇,研本合上，物理楼北547
361,00407807,天文数据分析：从统计到人工智能,专业任选,物理学院,1,3,BZ2526100407807_13595,1-16,,李立新,本研合上，开学后到理二2907看课表
362,00407810,海洋学海上实践,专业任选,物理学院,1,1,BZ2526100407810_15499,1-1,,刘永岗,研本合上，先联系ygliu@pku.edu.cn报名，预计9月初开学前一周完成海上实践，开学后手工选课
363,00410340,高等量子力学,专业任选,物理学院,1,4,BZ2526100410340_10567,1-16,星期一(第1节-第2节)星期三(第1节-第2节),朱世琳,研本合上，理教211
364,00410340,高等量子力学,专业任选,物理学院,2,4,BZ2526100410340_24700,1-16,星期二(第7节-第8节)星期五(第3节-第4节),李新征,研本合上，英文授课，理教406
365,00410441,量子统计物理,专业任选,物理学院,1,4,BZ2526100410441_10717,1-16,星期二(第1节-第2节)星期四(第3节-第4节),钱志新,研本合上，二教425
366,00410640,量子场论,专业任选,物理学院,1,4,BZ2526100410640_12998,1-16,星期三(第3节-第4节)星期五(第1节-第2节),朱华星,研本合上，二教527
367,00410640,量子场论,专业任选,物理学院,2,4,BZ2526100410640_20141,1-16,星期一(第5节-第6节)星期三(第3节-第4节),檀时钠,研本合上，英文授课，理教310
368,00411950,表面物理,专业任选,物理学院,1,3,BZ2526100411950_13079,1-16,星期三(第10节-第12节),江颖,研本合上，二教501
369,00412150,粒子物理,专业任选,物理学院,1,4,BZ2526100412150_14333,1-16,星期一(第3节-第4节)星期三(第7节-第8节),刘佳,研本合上，二教425
370,00413251,等离子体物理,专业任选,物理学院,1,3,BZ2526100413251_17554,1-16,星期四(第7节-第9节),刘畅,研本合上，二教420
371,00414980,实验室安全教育,专业任选,物理学院,1,0.5,BZ2526100414980_10404,1-4,星期五(第7节-第9节),郭秋菊周路群杨玲,研本合上，理教207，4周的课，进实验室前推荐选课
372,00415250,固体物理前沿,专业任选,物理学院,1,2,BZ2526100415250_16381,1-16,星期三(第7节-第9节),于彤军,研本合上，物理中楼212，一学年的课，秋季选课，春季录成绩
373,00415450,量子光学,专业任选,物理学院,1,4,BZ2526100415450_12699,1-16,星期二(第1节-第2节)星期四(第3节-第4节),古英,研本合上，二教509
374,00415450,量子光学,专业任选,物理学院,2,4,BZ2526100415450_23727,1-16,星期二(第5节-第6节)星期四(第3节-第4节),胡耀文,研本合上，昌平校区马池口113，仅限手工选课
375,00415480,宽禁带半导体,专业任选,物理学院,1,2,BZ2526100415480_18850,1-16,星期一(第5节-第6节),鞠光旭,研本合上，三教504
376,00415490,密度泛函理论及其应用,专业任选,物理学院,1,3,BZ2526100415490_16416,1-16,星期四(第10节-第12节),吕劲,研本合上，理教209
377,00415532,原子、分子光谱,专业任选,物理学院,1,3,BZ2526100415532_19205,1-16,星期四(第10节-第12节),吴成印,研本合上，二教317
378,00415532,原子、分子光谱,专业任选,物理学院,2,3,BZ2526100415532_23746,1-16,星期二(第7节-第9节),彭湃,研本合上，昌平校区马池口116，仅限手工选课
379,00415591,高等等离子体物理II,专业任选,物理学院,1,3,BZ2526100415591_14994,1-16,星期一(第7节-第9节),肖池阶,研本合上，文史204
380,00415671,激光原理与技术,专业任选,物理学院,1,3,BZ2526100415671_13779,1-16,星期一(第5节-第6节)星期三(第5节-第6节)(单),蒋红兵,研本合上，三教308
381,00416040,大气湍流,专业任选,物理学院,1,4,BZ2526100416040_15870,1-16,星期二(第3节-第4节)星期五(第5节-第6节),张宏昇,研本合上，物理楼北547
382,00416050,大气化学,专业任选,物理学院,1,4,BZ2526100416050_19967,1-16,星期四(第3节-第4节)星期五(第3节-第4节),赵春生,研本合上，物理楼北547
383,00416080,大气遥感,专业任选,物理学院,1,4,BZ2526100416080_12928,1-16,星期二(第1节-第2节)星期四(第1节-第2节),沈路路,研本合上，物理楼北547
384,00416550,恒星结构和演化,专业任选,物理学院,1,3,BZ2526100416550_10004,1-16,,INAYOSHI KOHEI,研本合上，开学后请到理科二号楼2907看课表
385,00416800,宇宙学及星系形成,专业任选,物理学院,1,3,BZ2526100416800_16244,1-16,,彭影杰,研本合上，开学后到理科二号楼2907看课表
386,00418090,粒子加速器,专业任选,物理学院,1,3,BZ2526100418090_18995,1-16,星期二(第7节-第9节),陆元荣,研本合上，三教406
387,00418100,粒子物理与原子核物理,专业任选,物理学院,1,4,BZ2526100418100_17981,1-16,星期一(第3节-第4节)星期四(第1节-第2节),冒亚军,研本合上，三教306
388,00418340,核磁共振成像学,专业任选,物理学院,1,3,BZ2526100418340_10378,1-16,星期三(第1节-第3节),高家红,研本合上，综合科研楼104
389,00418730,核技术及应用导论,专业任选,物理学院,1,3,BZ2526100418730_18555,1-16,星期一(第7节-第9节),刘克新,研本合上，三教306
390,00418740,粒子束与物质相互作用,专业任选,物理学院,1,3,BZ2526100418740_19156,1-16,星期三(第7节-第9节),王宇钢,研本合上，二教423
391,00418760,带电粒子束流光学,专业任选,物理学院,1,4,BZ2526100418760_14165,1-16,星期二(第1节-第2节)星期四(第3节-第4节),黄森林,研本合上，三教208
392,00430011,计算物理学（A）,专业必修,物理学院,1,4,BZ2526100430011_11671,1-16,星期二(第3节-第4节)星期四(第1节-第2节),陈基,允许替代2024级00431443计算物理学
393,00430011,计算物理学（A）,专业必修,物理学院,2,4,BZ2526100430011_21027,1-16,星期二(第3节-第4节)星期四(第1节-第2节),李强,允许替代2024级00431443计算物理学
394,00430013,计算物理学习题课,专业必修,物理学院,1,0,BZ2526100430013_14854,1-16,星期二(第10节-第11节)(双),陈基,
395,00430013,计算物理学习题课,专业必修,物理学院,2,0,BZ2526100430013_20453,1-16,星期二(第10节-第11节)(双),李强,
396,00430109,演示物理学,通选课,物理学院,1,2,BZ2526100430109_16314,1-16,星期二(第1节-第2节),李湘庆,
397,00430132,现代电子电路基础及实验 (一),专业必修,物理学院,1,3,BZ2526100430132_16716,1-16,星期三(第5节-第6节)星期五(第3节-第4节),赵捷,
398,00430133,现代电子电路基础及实验 (二),专业必修,物理学院,2,2,BZ2526100430133_28279,1-16,星期一(第5节-第8节),王志军任全胜,第一周于上课时间段到理科2号楼2259上绪论课
399,00430133,现代电子电路基础及实验 (二),专业必修,物理学院,3,2,BZ2526100430133_38332,1-16,星期一(第5节-第8节),任全胜黄鹏,第一周于上课时间段到理科2号楼2259上绪论课
400,00430133,现代电子电路基础及实验 (二),专业必修,物理学院,4,2,BZ2526100430133_47186,1-16,星期一(第9节-第12节),高崧任全胜,第一周于上课时间段到理科2号楼2259上绪论课
401,00430133,现代电子电路基础及实验 (二),专业必修,物理学院,1,2,BZ2526100430133_15860,1-16,星期一(第5节-第8节),高崧任全胜,第一周于上课时间段到理科2号楼2259上绪论课
402,00430133,现代电子电路基础及实验 (二),专业必修,物理学院,5,2,BZ2526100430133_59565,1-16,星期一(第9节-第12节),任全胜黄鹏,第一周于上课时间段到理科2号楼2259上绪论课
403,00430151,现代物理前沿讲座Ⅰ,专业任选,物理学院,1,2,BZ2526100430151_12530,1-16,星期二(第10节-第11节),,2025级年级主任为主持人
404,00430191,大气科学导论,专业必修,物理学院,1,2,BZ2526100430191_17669,1-16,星期四(第5节-第6节),俞妍,
405,00431113,近现代物理导论 I,专业必修,人工智能研究院,1,4,BZ2526100431113_14698,1-16,星期二(第3节-第4节)星期四(第1节-第2节),孟策,
406,00431115,近现代物理导论习题课,专业任选,人工智能研究院,1,0,BZ2526100431115_14513,1-16,星期四(第10节-第11节)(单),孟策,习题课
407,00431133,普通物理 (II),专业必修,化学与分子工程学院,1,4,BZ2526100431133_17596,1-16,星期二(第1节-第2节)星期四(第3节-第4节),穆良柱,
408,00431133,普通物理 (II),专业必修,生命科学学院,2,4,BZ2526100431133_48993,1-16,星期一(第7节-第8节)星期四(第1节-第2节),贾爽,生科、生技、生信专业必修
409,00431133,普通物理 (II),专业必修,工学院,5,4,BZ2526100431133_52787,1-16,星期一(第7节-第8节)星期三(第3节-第4节),安刘攀,普物Ⅱ可代替热学+光学+近代物理，力机，双培1
410,00431133,普通物理 (II),专业必修,工学院,6,4,BZ2526100431133_60023,1-16,星期一(第7节-第8节)星期三(第3节-第4节),李柯伽,普物Ⅱ可代替热学+光学+近代物理，力机，双培1
411,00431133,普通物理 (II),专业必修,地球与空间科学学院,3,4,BZ2526100431133_39681,1-16,星期二(第10节-第11节)星期四(第3节-第4节),方哲宇,
412,00431141,力学,专业必修,物理学院,1,3,BZ2526100431141_19879,1-16,星期一(第1节-第2节)(单)星期三(第3节-第4节),刘树新,
413,00431141,力学,专业必修,物理学院,2,3,BZ2526100431141_23794,1-16,星期一(第1节-第2节)(单)星期三(第3节-第4节),张国辉,
414,00431141,力学,专业必修,信息科学技术学院,4,3,BZ2526100431141_42582,1-16,星期一(第1节-第2节)星期三(第3节-第4节),彭翔,同时选04832090”力学B类习题补充“4号班
415,00431141,力学,专业必修,信息科学技术学院,5,3,BZ2526100431141_53953,1-16,星期一(第1节-第2节)星期三(第3节-第4节),郭等柱张耿民,同时选04832090”力学B类习题补充“5号班
416,00431141,力学,专业必修,信息科学技术学院,6,3,BZ2526100431141_64041,1-16,星期一(第1节-第2节)星期三(第3节-第4节),邢英杰,同时选04832090”力学B类习题补充“6号班
417,00431141,力学,专业必修,物理学院,3,3,BZ2526100431141_70691,1-16,,,免修考试录入用
418,00431142,热学,专业必修,物理学院,1,2,BZ2526100431142_14192,1-16,星期三(第3节-第4节),曲波,工学院、地空优先
419,00431142,热学,专业必修,物理学院,2,2,BZ2526100431142_25959,1-16,,,免修考试录入专用
420,00431142,热学,专业任选,信息科学技术学院,3,2,BZ2526100431142_40502,1-16,星期四(第7节-第8节),陈清,
421,00431143,电磁学,专业必修,物理学院,1,3,BZ2526100431143_15653,1-16,,,免修考试录入专用
422,00431144,光学,专业必修,物理学院,1,2,BZ2526100431144_15298,1-16,星期四(第3节-第4节),宋博,2023级及以前适用（工学院、地空优先）
423,00431148,光学习题课,专业必修,物理学院,1,0,BZ2526100431148_15728,1-16,星期二(第1节-第2节)(双),王若鹏,
424,00431148,光学习题课,专业必修,物理学院,2,0,BZ2526100431148_22167,1-16,星期二(第1节-第2节)(双),王树峰,
425,00431148,光学习题课,专业必修,物理学院,3,0,BZ2526100431148_32314,1-16,星期五(第10节-第11节)(双),陈志坚,4学分光学习题班
426,00431148,光学习题课,专业必修,物理学院,4,0,BZ2526100431148_48439,1-16,星期五(第10节-第11节)(双),宋博,2学分光学习题班
427,00431149,光学讨论班,专业必修,物理学院,1,2,BZ2526100431149_16556,1-16,星期二(第10节-第11节),胡小永,
428,00431149,光学讨论班,专业必修,物理学院,2,2,BZ2526100431149_28871,1-16,星期二(第10节-第11节),刘文静,
429,00431149,光学讨论班,专业必修,物理学院,3,2,BZ2526100431149_39927,1-16,星期五(第10节-第11节),彭湃,
430,00431149,光学讨论班,专业必修,物理学院,4,2,BZ2526100431149_43198,1-16,星期五(第10节-第11节),,备用班
431,00431151,原子物理学,专业必修,物理学院,1,3,BZ2526100431151_10833,1-16,星期一(第1节-第2节)(单)星期三(第3节-第4节),刘玉鑫张艳席,
432,00431156,光学,专业必修,物理学院,1,4,BZ2526100431156_19227,1-16,星期二(第1节-第2节)星期四(第3节-第4节),陈志坚,2023级及以前适用
433,00431159,原子物理习题,专业必修,物理学院,1,0,BZ2526100431159_17531,1-16,星期一(第1节-第2节)(双),刘玉鑫张艳席,
434,00431165,近代物理,专业必修,物理学院,1,3,BZ2526100431165_17394,1-16,星期一(第1节-第2节)(单)星期三(第3节-第4节),华辉,
435,00431165,近代物理,专业必修,物理学院,2,3,BZ2526100431165_22665,1-16,星期一(第1节-第2节)(单)星期三(第3节-第4节),张双全,
436,00431171,光学演示实验课,实习实践,物理学院,1,0,BZ2526100431171_12472,1-16,,穆良柱,普通物理和光学配套演示实验
437,00431172,光学,专业必修,物理学院,1,3,BZ2526100431172_14029,1-16,星期二(第1节-第2节)(单)星期四(第3节-第4节),王若鹏,2024级及以后适用
438,00431172,光学,专业必修,物理学院,2,3,BZ2526100431172_25516,1-16,星期二(第1节-第2节)(单)星期四(第3节-第4节),王树峰,2024级及以后适用
439,00431172,光学,专业必修,物理学院,3,3,BZ2526100431172_36115,1-16,,,录入免修专用
440,00431180,力学习题,专业必修,物理学院,2,0,BZ2526100431180_20399,1-16,星期一(第1节-第2节)(双),刘树新,
441,00431180,力学习题,专业必修,物理学院,1,0,BZ2526100431180_15145,1-16,星期一(第1节-第2节)(双),刘树新,
442,00431180,力学习题,专业必修,物理学院,3,0,BZ2526100431180_39025,1-16,星期一(第1节-第2节)(双),张国辉,
443,00431200,基础物理实验,专业必修,生命科学学院,1,2,BZ2526100431200_13393,1-16,星期四(第9节-第12节),杨景王伟,18:00-21:30上课
444,00431200,基础物理实验,专业必修,元培学院,2,2,BZ2526100431200_27053,1-16,星期四(第9节-第12节),王伟,
445,00431254,热学习题课,专业必修,物理学院,1,0,BZ2526100431254_13282,1-16,星期三(第10节-第11节)(单),曲波,
446,00431537,现代电子测量与实验,专业任选,物理学院,1,3,BZ2526100431537_18968,1-16,星期四(第7节-第9节),薛志华,
447,00431543,天体物理专题,专业任选,物理学院,1,3,BZ2526100431543_13236,1-16,,上官晋沂,研本合上，理科二号楼2907看课表
448,00431545,天文文献阅读,专业任选,物理学院,1,2,BZ2526100431545_11382,1-16,,陈弦,研本合上，理科二号楼2907看课表
449,00431547,天体物理前沿,专业任选,物理学院,1,2,BZ2526100431547_11589,1-16,,刘富坤,研本合上，理科二号楼2907看课表
450,00431561,基础天文,专业必修,物理学院,1,3,BZ2526100431561_14179,1-16,星期二(第10节-第12节),王然,
451,00431561,基础天文,专业必修,物理学院,2,3,BZ2526100431561_26330,1-16,星期二(第10节-第12节),江林华,
452,00431563,天体物理观测实验,专业任选,物理学院,1,2,BZ2526100431563_10425,1-16,星期一(第10节-第11节),上官晋沂,理科二号楼2907
453,00431568,实测天体物理I（光学与红外）,专业必修,物理学院,1,3,BZ2526100431568_19715,1-16,星期三(第7节-第9节),张华伟,理科二号楼2907
454,00431570,核物理与粒子物理实验方法(一),专业任选,物理学院,1,4,BZ2526100431570_16052,1-16,星期三(第5节-第6节)星期五(第7节-第8节),李智焕,研本合上，二教420
455,00431620,计算物理学导论,专业任选,物理学院,1,3,BZ2526100431620_15116,1-16,星期二(第10节-第12节),徐莉梅李新征陈基张亿,研本合上，理教301
456,00431641,量子力学讨论班,专业必修,物理学院,1,2,BZ2526100431641_16280,1-16,星期二(第5节-第6节),陈钢,排讨论教室
457,00431641,量子力学讨论班,专业必修,物理学院,2,2,BZ2526100431641_24145,1-16,星期二(第7节-第8节),冯旭,排讨论教室
458,00431641,量子力学讨论班,专业必修,物理学院,3,2,BZ2526100431641_30323,1-16,星期一(第5节-第6节),吴飙,排讨论教室
459,00431641,量子力学讨论班,专业必修,物理学院,4,2,BZ2526100431641_37398,1-16,星期四(第5节-第6节),曹庆宏,与新大纲版量子力学结合
460,00431648,统计力学,专业必修,物理学院,1,3,BZ2526100431648_10320,1-16,星期二(第5节-第6节)(单)星期五(第3节-第4节),黄华卿,2024级及以后适用，先修理论物理基础1&2
461,00431650,平衡态统计物理,专业必修,物理学院,1,4,BZ2526100431650_15342,1-16,星期二(第5节-第6节)星期五(第3节-第4节),宋慧超,
462,00431651,平衡态统计物理讨论班,专业必修,物理学院,1,2,BZ2526100431651_11559,1-16,星期二(第5节-第6节),陈基,排讨论教室
463,00431651,平衡态统计物理讨论班,专业必修,物理学院,2,2,BZ2526100431651_20784,1-16,星期二(第7节-第8节),徐莉梅,排讨论教室
464,00431651,平衡态统计物理讨论班,专业必修,物理学院,3,2,BZ2526100431651_39801,1-16,星期一(第7节-第8节),尹澜,排讨论教室
465,00431661,天文无线电技术基础,专业必修,物理学院,1,2,BZ2526100431661_11812,1-16,星期一(第5节-第6节),李柯伽,理科二号楼2907 本研合上
466,00431680,普通物理习题课,专业必修,元培学院,2,0,BZ2526100431680_23800,1-16,星期二(第10节-第11节),穆良柱,
467,00431680,普通物理习题课,专业必修,生命科学学院,4,0,BZ2526100431680_46543,1-16,星期一(第10节-第11节),贾爽,
468,00431680,普通物理习题课,专业必修,生命科学学院,5,0,BZ2526100431680_50840,1-16,星期一(第10节-第11节),贾爽,
469,00431680,普通物理习题课,专业必修,工学院,7,0,BZ2526100431680_74708,1-16,星期一(第10节-第11节),安刘攀,普物Ⅱ可代替热学+光学+近代物理，力机，双培1
470,00431680,普通物理习题课,专业必修,工学院,8,0,BZ2526100431680_85863,1-16,星期一(第10节-第11节),李柯伽,普物Ⅱ可代替热学+光学+近代物理，力机，双培1
471,00431680,普通物理习题课,专业必修,化学与分子工程学院,1,0,BZ2526100431680_14529,1-16,星期三(第10节-第11节)(单),穆良柱,
472,00431680,普通物理习题课,专业必修,地球与空间科学学院,3,0,BZ2526100431680_35717,1-16,星期三(第10节-第11节),方哲宇,
473,00431701,固体物理讨论班,专业必修,物理学院,1,2,BZ2526100431701_21895,1-16,星期一(第10节-第11节),陈剑豪,
474,00431740,可再生能源与低碳社会,通选课,物理学院,1,2,BZ2526100431740_18194,1-16,星期三(第7节-第8节),肖立新,翻转课堂
475,00432001,理论物理基础 I,专业必修,物理学院,1,4,BZ2526100432001_19007,1-16,星期一(第1节-第2节)星期三(第3节-第4节),孟策,2025级通过力学和电磁学免修的同学可选
476,00432001,理论物理基础 I,专业必修,物理学院,2,4,BZ2526100432001_28065,1-16,星期一(第3节-第4节)星期三(第1节-第2节),陈弦,2024级同学可选
477,00432002,理论物理基础II,专业必修,物理学院,1,4,BZ2526100432002_13546,1-16,星期一(第3节-第4节)星期三(第1节-第2节),王垡,2024级同学可选
478,00432011,理论物理基础习题课,专业必修,物理学院,1,0,BZ2526100432011_11223,1-16,星期一(第10节-第11节)(单),孟策,
479,00432011,理论物理基础习题课,专业必修,物理学院,2,0,BZ2526100432011_26325,1-16,星期一(第10节-第11节)(单),孟策,
480,00432011,理论物理基础习题课,专业必修,物理学院,3,0,BZ2526100432011_34677,1-16,星期三(第10节-第11节),陈弦,
481,00432011,理论物理基础习题课,专业必修,物理学院,4,0,BZ2526100432011_49238,1-16,星期三(第10节-第11节),陈弦,
482,00432011,理论物理基础习题课,专业必修,物理学院,5,0,BZ2526100432011_57415,1-16,星期三(第10节-第11节),王垡,
483,00432108,数学物理方法 (上),专业必修,物理学院,1,3,BZ2526100432108_16104,1-16,星期二(第3节-第4节)星期四(第1节-第2节)(单),高春媛,
484,00432109,数学物理方法 (下),专业必修,物理学院,1,3,BZ2526100432109_14056,1-16,星期二(第3节-第4节)星期四(第1节-第2节),李定平,
485,00432110,数学物理方法,专业必修,物理学院,1,4,BZ2526100432110_15260,1-16,星期二(第3节-第4节)星期四(第1节-第2节),张大新,
486,00432110,数学物理方法,专业必修,物理学院,2,4,BZ2526100432110_27536,1-16,星期二(第3节-第4节)星期四(第1节-第2节),赵克常,
487,00432119,数学物理方法习题课,专业必修,物理学院,1,0,BZ2526100432119_11270,1-16,星期四(第10节-第11节),高春媛,
488,00432119,数学物理方法习题课,专业必修,物理学院,3,0,BZ2526100432119_34649,1-16,星期四(第10节-第11节),李定平,
489,00432119,数学物理方法习题课,专业必修,物理学院,4,0,BZ2526100432119_49700,1-16,星期四(第10节-第11节),张大新,
490,00432119,数学物理方法习题课,专业必修,物理学院,5,0,BZ2526100432119_50511,1-16,星期四(第10节-第11节),赵克常,
491,00432119,数学物理方法习题课,专业必修,物理学院,2,0,BZ2526100432119_26411,1-16,星期四(第10节-第11节),李定平,
492,00432140,电动力学 (A),专业必修,物理学院,1,4,BZ2526100432140_16234,1-16,星期二(第1节-第2节)星期四(第3节-第4节),邵立晶,2023级及以前适用
493,00432141,电动力学(B),专业必修,信息科学技术学院,1,3,BZ2526100432141_17697,1-16,星期二(第1节-第2节)星期四(第3节-第4节),李明之,
494,00432145,电动力学专题选讲,专业任选,物理学院,1,2,BZ2526100432145_12030,1-16,星期二(第7节-第8节),刘克新黄森林颜学庆乔宾马文君徐新路,
495,00432148,量子力学,专业必修,物理学院,1,3,BZ2526100432148_18546,1-16,星期一(第3节-第4节)星期三(第1节-第2节)(单),刘玉鑫,2024级及以后适用，先修理论物理基础1&2
496,00432149,量子力学 (B),专业必修,信息科学技术学院,1,3,BZ2526100432149_13609,1-16,星期一(第1节-第2节)星期三(第1节-第2节),姚和朋,
497,00432150,量子力学 (A),专业必修,物理学院,1,4,BZ2526100432150_13967,1-16,星期一(第3节-第4节)星期三(第1节-第2节),全海涛,2023级及以前适用
498,00432150,量子力学 (A),专业必修,信息科学技术学院,2,4,BZ2526100432150_22626,1-16,星期一(第1节-第2节)星期三(第1节-第2节),郭弘,
499,00432151,量子力学习题,专业必修,物理学院,1,0,BZ2526100432151_15058,1-16,星期一(第10节-第11节)(单),全海涛,
500,00432151,量子力学习题,专业必修,物理学院,2,0,BZ2526100432151_27542,1-16,星期一(第10节-第11节)(单),全海涛,
501,00432151,量子力学习题,专业必修,物理学院,3,0,BZ2526100432151_38829,1-16,星期三(第1节-第2节)(双),刘玉鑫,3学分量子力学习题课
502,00432160,电动力学习题,专业必修,物理学院,1,0,BZ2526100432160_18948,1-16,星期一(第10节-第11节)(双),邵立晶,
503,00432160,电动力学习题,专业必修,物理学院,2,0,BZ2526100432160_28854,1-16,星期一(第5节-第6节)(双),徐新路,3学分电动力学习题课
504,00432198,理论力学(A),专业必修,物理学院,1,4,BZ2526100432198_19073,1-16,星期二(第7节-第8节)星期五(第1节-第2节),许甫荣,2023级及以前适用
505,00432205,理论力学习题课,专业必修,物理学院,1,0,BZ2526100432205_15025,1-16,星期三(第10节-第11节)(双),许甫荣,2023级及以前适用
506,00432205,理论力学习题课,专业必修,物理学院,2,0,BZ2526100432205_30924,1-16,星期五(第1节-第2节)(双),赵鹏巍,2024级及以后适用，3学分理论力学习题课
507,00432211,理论力学,专业必修,物理学院,1,3,BZ2526100432211_11885,1-16,星期二(第7节-第8节)星期五(第1节-第2节)(单),赵鹏巍,2024级及以后适用，已修理论物理基础1
508,00432213,电动力学,专业必修,物理学院,1,3,BZ2526100432213_16459,1-16,星期一(第5节-第6节)(单)星期三(第7节-第8节),徐新路,2024级及以后适用，已修理论物理基础1
509,00432245,理论天体物理,专业必修,物理学院,1,3,BZ2526100432245_16823,1-16,星期三(第5节-第6节)(单)星期五(第3节-第4节),刘富坤,理科二号楼2907
510,00432247,大气物理学基础,专业必修,物理学院,1,3,BZ2526100432247_15206,1-16,星期二(第3节-第4节)星期四(第5节-第6节)(单),李万彪,
511,00432249,流体力学,专业必修,物理学院,1,3,BZ2526100432249_14262,1-16,星期一(第1节-第2节)(单)星期三(第3节-第4节),KOLL DANIEL DRAGOMIR BENEDIKT,英文班
512,00432255,天气分析与预报,专业任选,物理学院,1,3,BZ2526100432255_14701,1-16,星期二(第10节-第12节),胡永云,物理大楼北547，本研合上
513,00432265,现代天文学,通选课,物理学院,1,2,BZ2526100432265_19005,1-16,星期三(第5节-第6节),王科,非全球课堂
